SPO_kernel,n
1.0807501882527066,300
0.977219238465211,300
0.8367907527256814,300
0.9642903449183832,300
1.139855001714919,300
0.9587824181746764,300
0.8645410211779067,300
1.1619693248688965,300
0.9931080585052108,300
0.9601725098287386,300
1.013277001330531,300
0.9315419871131536,300
0.8966540704216417,300
0.9888794487275868,300
0.9817055768832544,300
0.9671941264832652,300
0.9836646077579588,300
0.9844230531055366,300
0.929153397780694,300
0.9227165339785398,300
0.9330636262442336,300
0.9839241807499702,300
0.90900036872213,300
0.9968548818052212,300
1.0316759142560876,300
0.8509721092867347,300
0.9449949889660856,300
1.0583643772672688,300
0.9489518865100232,300
1.080915090059387,300
1.0242056517503189,300
0.997444021472226,300
1.0517634297601557,300
1.0386275765337778,300
1.181667264321954,300
0.8865155766853441,300
1.0631131857127674,300
1.1037181755580945,300
0.8460676936672767,300
0.9766881042519342,300
0.9625367221056708,300
0.9604465321542308,300
0.9916592533909776,300
1.108353226079496,300
0.8341193087676808,400
0.8700624195653769,400
0.9043500353025632,400
0.8967498877551501,400
1.0432391732030608,400
0.8387749748218126,400
0.9730971038048994,400
0.8500422183127143,400
0.6959776004162658,400
0.9449969492202172,400
0.8967682658022281,400
0.8418124567090038,400
0.9336911301919174,400
0.8822310581377272,400
0.9452664342011798,400
0.8761880694389844,400
0.9129946361307264,400
0.7797421448764513,400
0.8378176759316284,400
0.9324953518438512,400
0.9487122014169816,400
0.90808713010564035,400
0.9648843094768969,400
0.9183765827430108,400
0.8444723642125262,400
0.9586108012282144,400
0.843023845420644,400
0.9223469363736692,400
0.8177156234047042,400
0.8541721886427255,400
0.921845970802614,400
0.8094716094083897,400
0.8464121710201057,400
0.8912453730633051,400
0.9007518540461786,400
0.883257087915761,400
0.9514206041708356,400
0.8990027847787684,400
0.9417511208544926,400
0.9892289581846202,400
0.9905726943351532,400
0.8479040844345129,400
0.8360876341254654,400
0.8449784202970173,400
0.7468645416995788,400
0.8122501873829949,400
0.9214236005583346,400
0.8044698556748309,400
0.892010716686701,400
0.9985020654561632,400
0.8050702705757556,500
0.8222508351652451,500
0.7419842113606783,500
0.8744282239609386,500
0.9749613933043914,500
0.8204127921083361,500
0.8504735617497381,500
0.8046336968732828,500
0.7353371879625665,500
0.8929262466813173,500
0.7901405144252495,500
0.7983360326505767,500
0.7807748434728518,500
0.8546062213291256,500
0.9275605638819232,500
0.8288135735338924,500
0.7896872583473797,500
0.7628675460898762,500
0.7762289730632682,500
0.8518851313693754,500
0.871435242810248,500
0.8211374598318182,500
0.8346881713036904,500
0.8281956086395619,500
0.9054358772447466,500
0.8515409162613916,500
0.8832869821026159,500
0.8666533683905324,500
0.7316461791249024,500
0.757896777690558,500
0.856177509297196,500
0.7635324242056454,500
1.0909039933259814,500
0.7818962792139901,500
1.053656376297805,500
0.902796983159991,500
0.8351197802046064,500
0.8203402259269612,500
0.8504689354392354,500
0.9315068381950669,500
0.8839794055058537,500
0.83132469637343,500
0.9016643713004596,500
0.7870427580366584,500
0.7069142185257953,500
0.8232764328761516,500
0.8416395738847847,500
0.8631698166808688,500
0.8398491138177715,500
0.9068018917517748,500
